depth,fit_time,name,score,score_time
1,0.029000043869018555,Tree w/ depth of 1,0.7740805604203153,0.0019998550415039062
2,0.04800009727478027,Tree w/ depth of 2,0.851138353765324,0.002000093460083008
3,0.06500005722045898,Tree w/ depth of 3,0.9211908931698775,0.003000020980834961
4,0.0820000171661377,Tree w/ depth of 4,0.9316987740805605,0.003000020980834961
5,0.10300016403198242,Tree w/ depth of 5,0.9404553415061296,0.003999948501586914
6,0.125,Tree w/ depth of 6,0.9527145359019265,0.005000114440917969
7,0.14400005340576172,Tree w/ depth of 7,0.9474605954465849,0.003999948501586914
8,0.1659998893737793,Tree w/ depth of 8,0.9439579684763573,0.003999948501586914
9,0.17199993133544922,Tree w/ depth of 9,0.9474605954465849,0.004999876022338867
10,0.17599987983703613,Tree w/ depth of 10,0.9334500875656743,0.003999948501586914
