depth,fit_time,name,score,score_time
1,0.09999990463256836,Tree w/ depth of 1,0.8073555166374781,0.004000186920166016
2,0.15700006484985352,Tree w/ depth of 2,0.8704028021015762,0.004999876022338867
3,0.2239999771118164,Tree w/ depth of 3,0.9404553415061296,0.007999897003173828
4,0.30299997329711914,Tree w/ depth of 4,0.9527145359019265,0.007999897003173828
5,0.37199997901916504,Tree w/ depth of 5,0.957968476357268,0.007999897003173828
6,0.44099998474121094,Tree w/ depth of 6,0.9614711033274956,0.008999824523925781
7,0.497999906539917,Tree w/ depth of 7,0.9562171628721541,0.009999990463256836
8,0.5320000648498535,Tree w/ depth of 8,0.957968476357268,0.009000062942504883
9,0.5610001087188721,Tree w/ depth of 9,0.9509632224168126,0.009000062942504883
10,0.570000171661377,Tree w/ depth of 10,0.9614711033274956,0.008999824523925781
11,0.5669999122619629,Tree w/ depth of 11,0.9562171628721541,0.009999990463256836
12,0.5710000991821289,Tree w/ depth of 12,0.957968476357268,0.009999990463256836
13,0.5769999027252197,Tree w/ depth of 13,0.957968476357268,0.009000062942504883
