depth,fit_time,name,score,score_time
1,0.0280001163482666,Tree w/ depth of 1,0.9649737302977233,0.003000020980834961
2,0.04900002479553223,Tree w/ depth of 2,0.9614711033274956,0.003000020980834961
3,0.06200003623962402,Tree w/ depth of 3,0.968476357267951,0.003999948501586914
4,0.08300018310546875,Tree w/ depth of 4,0.9754816112084063,0.003000020980834961
5,0.09599995613098145,Tree w/ depth of 5,0.9719789842381786,0.003000020980834961
6,0.10299992561340332,Tree w/ depth of 6,0.9649737302977233,0.003999948501586914
7,0.1099998950958252,Tree w/ depth of 7,0.9649737302977233,0.003000020980834961
8,0.11899995803833008,Tree w/ depth of 8,0.9649737302977233,0.003000020980834961
9,0.11500000953674316,Tree w/ depth of 9,0.9597197898423818,0.003000020980834961
10,0.11800003051757812,Tree w/ depth of 10,0.9597197898423818,0.003999948501586914
