depth,fit_time,name,score,score_time
1,0.029999971389770508,Tree w/ depth of 1,0.9054290718038529,0.002000093460083008
2,0.04699993133544922,Tree w/ depth of 2,0.9597197898423818,0.003000020980834961
3,0.06399989128112793,Tree w/ depth of 3,0.9772329246935202,0.003000020980834961
4,0.07899999618530273,Tree w/ depth of 4,0.9877408056042032,0.004000186920166016
5,0.10299992561340332,Tree w/ depth of 5,0.9929947460595446,0.003999948501586914
6,0.12299990653991699,Tree w/ depth of 6,0.9929947460595446,0.003999948501586914
7,0.13499999046325684,Tree w/ depth of 7,0.9929947460595446,0.003999948501586914
8,0.14499998092651367,Tree w/ depth of 8,0.9964973730297724,0.004000186920166016
9,0.14800000190734863,Tree w/ depth of 9,0.9947460595446584,0.003999948501586914
10,0.14899992942810059,Tree w/ depth of 10,0.9947460595446584,0.003000020980834961
