depth,fit_time,name,score,score_time
1,0.0279998779296875,Tree w/ depth of 1,0.9562171628721541,0.003000020980834961
2,0.043000221252441406,Tree w/ depth of 2,0.9597197898423818,0.0029997825622558594
3,0.06200003623962402,Tree w/ depth of 3,0.9842381786339754,0.003000020980834961
4,0.07599997520446777,Tree w/ depth of 4,0.9929947460595446,0.003000020980834961
5,0.09299993515014648,Tree w/ depth of 5,0.9842381786339754,0.003000020980834961
6,0.09600019454956055,Tree w/ depth of 6,0.9824868651488616,0.003999948501586914
7,0.10400009155273438,Tree w/ depth of 7,0.9877408056042032,0.003999948501586914
8,0.10700011253356934,Tree w/ depth of 8,0.9859894921190894,0.003000020980834961
9,0.10800004005432129,Tree w/ depth of 9,0.9842381786339754,0.003000020980834961
10,0.11299991607666016,Tree w/ depth of 10,0.9859894921190894,0.003000020980834961
