depth,fit_time,name,nodes,score,score_time,splitter
1,0.0,best Tree w/ depth of 1,3,0.6952714535901926,0.0009999275207519531,best
2,0.0009999275207519531,best Tree w/ depth of 2,5,0.7565674255691769,0.0,best
3,0.0,best Tree w/ depth of 3,9,0.8056042031523643,0.0009999275207519531,best
4,0.0010001659393310547,best Tree w/ depth of 4,15,0.8161120840630472,0.0009999275207519531,best
5,0.0,best Tree w/ depth of 5,27,0.8283712784588442,0.0009999275207519531,best
6,0.0009999275207519531,best Tree w/ depth of 6,47,0.8704028021015762,0.0,best
7,0.0010001659393310547,best Tree w/ depth of 7,77,0.8739054290718039,0.0,best
8,0.0009999275207519531,best Tree w/ depth of 8,121,0.8949211908931699,0.0009999275207519531,best
9,0.0009999275207519531,best Tree w/ depth of 9,177,0.8914185639229422,0.0,best
10,0.0009999275207519531,best Tree w/ depth of 10,225,0.8966725043782837,0.0,best
11,0.0010001659393310547,best Tree w/ depth of 11,261,0.8966725043782837,0.0009999275207519531,best
12,0.0009999275207519531,best Tree w/ depth of 12,283,0.8966725043782837,0.0010001659393310547,best
13,0.0019998550415039062,best Tree w/ depth of 13,291,0.8966725043782837,0.0010001659393310547,best
1,0.0,random Tree w/ depth of 1,3,0.6952714535901926,0.0,random
2,0.0009999275207519531,random Tree w/ depth of 2,5,0.7565674255691769,0.0,random
3,0.0009999275207519531,random Tree w/ depth of 3,9,0.8056042031523643,0.0009999275207519531,random
4,0.0009999275207519531,random Tree w/ depth of 4,15,0.8161120840630472,0.0,random
5,0.0,random Tree w/ depth of 5,27,0.8283712784588442,0.0010001659393310547,random
6,0.0,random Tree w/ depth of 6,47,0.8704028021015762,0.0009999275207519531,random
7,0.0009999275207519531,random Tree w/ depth of 7,77,0.8739054290718039,0.0,random
8,0.0010001659393310547,random Tree w/ depth of 8,121,0.8949211908931699,0.0009999275207519531,random
9,0.0009999275207519531,random Tree w/ depth of 9,177,0.8914185639229422,0.0,random
10,0.0009999275207519531,random Tree w/ depth of 10,225,0.8966725043782837,0.0009999275207519531,random
11,0.0009999275207519531,random Tree w/ depth of 11,257,0.8966725043782837,0.0,random
12,0.0009999275207519531,random Tree w/ depth of 12,277,0.8966725043782837,0.0010001659393310547,random
13,0.0019998550415039062,random Tree w/ depth of 13,291,0.8966725043782837,0.0,random
