depth,fit_time,name,nodes,score,score_time,splitter
1,0.0010001659393310547,best Tree w/ depth of 1,3,0.6952714535901926,0.0,best
2,0.0,best Tree w/ depth of 2,5,0.7915936952714536,0.0010001659393310547,best
3,0.0010001659393310547,best Tree w/ depth of 3,9,0.8844133099824869,0.0,best
4,0.0,best Tree w/ depth of 4,15,0.8949211908931699,0.0010001659393310547,best
5,0.0,best Tree w/ depth of 5,27,0.9141856392294221,0.0009999275207519531,best
6,0.0010001659393310547,best Tree w/ depth of 6,45,0.9439579684763573,0.0,best
7,0.0010001659393310547,best Tree w/ depth of 7,71,0.9439579684763573,0.0,best
8,0.0010001659393310547,best Tree w/ depth of 8,105,0.9544658493870403,0.0,best
9,0.0010001659393310547,best Tree w/ depth of 9,139,0.9527145359019265,0.0,best
10,0.0009999275207519531,best Tree w/ depth of 10,163,0.9527145359019265,0.0009999275207519531,best
1,0.0,random Tree w/ depth of 1,3,0.6952714535901926,0.0009999275207519531,random
2,0.0009999275207519531,random Tree w/ depth of 2,5,0.7915936952714536,0.0009999275207519531,random
3,0.0009999275207519531,random Tree w/ depth of 3,9,0.8844133099824869,0.0,random
4,0.0009999275207519531,random Tree w/ depth of 4,15,0.8949211908931699,0.0,random
5,0.0010001659393310547,random Tree w/ depth of 5,27,0.9141856392294221,0.0,random
6,0.0009999275207519531,random Tree w/ depth of 6,45,0.9439579684763573,0.0,random
7,0.0,random Tree w/ depth of 7,71,0.9439579684763573,0.0009999275207519531,random
8,0.0009999275207519531,random Tree w/ depth of 8,105,0.9544658493870403,0.0,random
9,0.0009999275207519531,random Tree w/ depth of 9,139,0.9527145359019265,0.0,random
10,0.0009999275207519531,random Tree w/ depth of 10,163,0.9527145359019265,0.0,random
