depth,fit_time,name,score,score_time
1,0.03600001335144043,Tree w/ depth of 1,0.7740805604203153,0.0009999275207519531
2,0.056999921798706055,Tree w/ depth of 2,0.851138353765324,0.003999948501586914
3,0.08500003814697266,Tree w/ depth of 3,0.9211908931698775,0.0029997825622558594
4,0.11299991607666016,Tree w/ depth of 4,0.9316987740805605,0.0070002079010009766
5,0.14100003242492676,Tree w/ depth of 5,0.9404553415061296,0.003000020980834961
6,0.15799999237060547,Tree w/ depth of 6,0.9527145359019265,0.003000020980834961
7,0.21799993515014648,Tree w/ depth of 7,0.9474605954465849,0.006999969482421875
8,0.2669999599456787,Tree w/ depth of 8,0.9439579684763573,0.005000114440917969
9,0.24900007247924805,Tree w/ depth of 9,0.9474605954465849,0.005000114440917969
10,0.24400019645690918,Tree w/ depth of 10,0.9334500875656743,0.004999876022338867
