depth,fit_time,name,score,score_time
1,0.10099983215332031,Tree w/ depth of 1,0.8073555166374781,0.0
2,0.14400005340576172,Tree w/ depth of 2,0.8704028021015762,0.016000032424926758
3,0.23600006103515625,Tree w/ depth of 3,0.9404553415061296,0.016000032424926758
4,0.3680000305175781,Tree w/ depth of 4,0.9527145359019265,0.011999845504760742
5,0.5510001182556152,Tree w/ depth of 5,0.957968476357268,0.007999897003173828
6,0.5220000743865967,Tree w/ depth of 6,0.9614711033274956,0.009999990463256836
7,0.6059999465942383,Tree w/ depth of 7,0.9562171628721541,0.012000083923339844
8,0.6410000324249268,Tree w/ depth of 8,0.957968476357268,0.009999990463256836
9,0.6809999942779541,Tree w/ depth of 9,0.9509632224168126,0.013000011444091797
10,0.5859999656677246,Tree w/ depth of 10,0.9614711033274956,0.010999917984008789
11,0.6319999694824219,Tree w/ depth of 11,0.9562171628721541,0.009000062942504883
12,0.5799999237060547,Tree w/ depth of 12,0.957968476357268,0.009000062942504883
13,0.5900001525878906,Tree w/ depth of 13,0.957968476357268,0.008999824523925781
