depth,fit_time,name,score,score_time
1,0.029000043869018555,Tree w/ depth of 1,0.9649737302977233,0.002000093460083008
2,0.054000139236450195,Tree w/ depth of 2,0.9614711033274956,0.003000020980834961
3,0.10399985313415527,Tree w/ depth of 3,0.968476357267951,0.003000020980834961
4,0.12199997901916504,Tree w/ depth of 4,0.9754816112084063,0.003999948501586914
5,0.11899995803833008,Tree w/ depth of 5,0.9719789842381786,0.003000020980834961
6,0.13699984550476074,Tree w/ depth of 6,0.9649737302977233,0.004000186920166016
7,0.15899991989135742,Tree w/ depth of 7,0.9649737302977233,0.003999948501586914
8,0.17199993133544922,Tree w/ depth of 8,0.9649737302977233,0.005000114440917969
9,0.18400001525878906,Tree w/ depth of 9,0.9597197898423818,0.0019998550415039062
10,0.15899991989135742,Tree w/ depth of 10,0.9597197898423818,0.003000020980834961
11,0.17600011825561523,Tree w/ depth of 11,0.9597197898423818,0.003999948501586914
12,0.17600011825561523,Tree w/ depth of 12,0.9597197898423818,0.003000020980834961
