depth,fit_time,name,score,score_time
1,0.04199981689453125,Tree w/ depth of 1,0.9054290718038529,0.002000093460083008
2,0.06200003623962402,Tree w/ depth of 2,0.9597197898423818,0.003999948501586914
3,0.07200002670288086,Tree w/ depth of 3,0.9772329246935202,0.003999948501586914
4,0.0970001220703125,Tree w/ depth of 4,0.9877408056042032,0.003999948501586914
5,0.1269998550415039,Tree w/ depth of 5,0.9929947460595446,0.005000114440917969
6,0.15000009536743164,Tree w/ depth of 6,0.9929947460595446,0.003999948501586914
7,0.18000006675720215,Tree w/ depth of 7,0.9929947460595446,0.003999948501586914
8,0.20200014114379883,Tree w/ depth of 8,0.9964973730297724,0.003000020980834961
9,0.1700000762939453,Tree w/ depth of 9,0.9947460595446584,0.003999948501586914
10,0.1830000877380371,Tree w/ depth of 10,0.9947460595446584,0.003000020980834961
