depth,fit_time,name,score,score_time
1,0.03900003433227539,Tree w/ depth of 1,0.9562171628721541,0.003000020980834961
2,0.06999993324279785,Tree w/ depth of 2,0.9597197898423818,0.003000020980834961
3,0.07599997520446777,Tree w/ depth of 3,0.9842381786339754,0.002000093460083008
4,0.08699989318847656,Tree w/ depth of 4,0.9929947460595446,0.004000186920166016
5,0.10500001907348633,Tree w/ depth of 5,0.9842381786339754,0.003999948501586914
6,0.10899996757507324,Tree w/ depth of 6,0.9824868651488616,0.003999948501586914
7,0.12000012397766113,Tree w/ depth of 7,0.9877408056042032,0.0029997825622558594
8,0.11800003051757812,Tree w/ depth of 8,0.9859894921190894,0.003000020980834961
9,0.11599993705749512,Tree w/ depth of 9,0.9842381786339754,0.003000020980834961
10,0.11800003051757812,Tree w/ depth of 10,0.9859894921190894,0.002000093460083008
