depth,fit_time,name,nodes,score,score_time,splitter
1,0.002000093460083008,best Tree w/ depth of 1,3,0.7740805604203153,0.0009999275207519531,best
2,0.0,best Tree w/ depth of 2,5,0.7740805604203153,0.0009999275207519531,best
3,0.0,best Tree w/ depth of 3,9,0.8056042031523643,0.0010001659393310547,best
4,0.0009999275207519531,best Tree w/ depth of 4,15,0.8108581436077058,0.0010001659393310547,best
5,0.0,best Tree w/ depth of 5,27,0.8336252189141856,0.0009999275207519531,best
6,0.0,best Tree w/ depth of 6,47,0.8686514886164624,0.0009999275207519531,best
7,0.0010001659393310547,best Tree w/ depth of 7,77,0.8791593695271454,0.0,best
8,0.0009999275207519531,best Tree w/ depth of 8,119,0.8861646234676007,0.0,best
9,0.002000093460083008,best Tree w/ depth of 9,163,0.8896672504378283,0.0,best
10,0.0009999275207519531,best Tree w/ depth of 10,209,0.9019264448336253,0.0,best
1,0.0010001659393310547,random Tree w/ depth of 1,3,0.7740805604203153,0.0,random
2,0.0009999275207519531,random Tree w/ depth of 2,5,0.7740805604203153,0.0,random
3,0.0009999275207519531,random Tree w/ depth of 3,9,0.8056042031523643,0.0,random
4,0.0009999275207519531,random Tree w/ depth of 4,15,0.8108581436077058,0.0,random
5,0.0009999275207519531,random Tree w/ depth of 5,27,0.8336252189141856,0.0,random
6,0.0009999275207519531,random Tree w/ depth of 6,47,0.8686514886164624,0.0,random
7,0.0009999275207519531,random Tree w/ depth of 7,77,0.8791593695271454,0.0010001659393310547,random
8,0.002000093460083008,random Tree w/ depth of 8,119,0.8791593695271454,0.0009999275207519531,random
9,0.0010001659393310547,random Tree w/ depth of 9,163,0.8896672504378283,0.0009999275207519531,random
10,0.0009999275207519531,random Tree w/ depth of 10,205,0.9001751313485113,0.0009999275207519531,random
