depth,fit_time,name,score,score_time
1,2.4079999923706055,Tree w/ depth of 1,0.8526893727898753,0.056999921798706055
2,3.924999952316284,Tree w/ depth of 2,0.8606923506420994,0.05500006675720215
3,5.458000183105469,Tree w/ depth of 3,0.8670202866182766,0.06200003623962402
4,6.95799994468689,Tree w/ depth of 4,0.8708356597803834,0.06800007820129395
5,9.128999948501587,Tree w/ depth of 5,0.8729759910664433,0.0839998722076416
6,11.130000114440918,Tree w/ depth of 6,0.8732551647124511,0.09500002861022949
7,12.151000022888184,Tree w/ depth of 7,0.8728829331844408,0.10400009155273438
8,13.888000011444092,Tree w/ depth of 8,0.8728829331844408,0.11800003051757812
9,15.83899998664856,Tree w/ depth of 9,0.8729759910664433,0.125
10,17.544999837875366,Tree w/ depth of 10,0.8721384701284198,0.15600013732910156
