depth,fit_time,name,score,score_time
1,2.2009999752044678,Tree w/ depth of 1,0.8526893727898753,0.06200003623962402
2,3.9110000133514404,Tree w/ depth of 2,0.8606923506420994,0.06000018119812012
3,5.263000011444092,Tree w/ depth of 3,0.8670202866182766,0.06100010871887207
4,6.8450000286102295,Tree w/ depth of 4,0.8708356597803834,0.07599997520446777
5,8.200999975204468,Tree w/ depth of 5,0.8729759910664433,0.07799983024597168
6,10.713000059127808,Tree w/ depth of 6,0.8732551647124511,0.09100008010864258
7,11.25600004196167,Tree w/ depth of 7,0.8728829331844408,0.10899996757507324
8,12.82200002670288,Tree w/ depth of 8,0.8723245858924251,0.12400007247924805
9,13.990000009536743,Tree w/ depth of 9,0.8729759910664433,0.125
10,16.585999965667725,Tree w/ depth of 10,0.8721384701284198,0.13100004196166992
