depth,fit_time,name,nodes,score,score_time,splitter
1,0.039999961853027344,best Tree w/ depth of 1,3,0.7627024008933556,0.016000032424926758,best
2,0.056999921798706055,best Tree w/ depth of 2,7,0.8287734971152056,0.010000228881835938,best
3,0.06299996376037598,best Tree w/ depth of 3,15,0.8444072212916434,0.010999917984008789,best
4,0.07899999618530273,best Tree w/ depth of 4,29,0.8491531732737763,0.01399993896484375,best
5,0.09800004959106445,best Tree w/ depth of 5,55,0.8548297040759353,0.008999824523925781,best
6,0.10899996757507324,best Tree w/ depth of 6,95,0.8556672250139586,0.009000062942504883,best
7,0.12199997901916504,best Tree w/ depth of 7,151,0.8570630932439978,0.010999917984008789,best
8,0.127000093460083,best Tree w/ depth of 8,229,0.8555741671319561,0.009999990463256836,best
9,0.14899992942810059,best Tree w/ depth of 9,341,0.8591103666480551,0.009999990463256836,best
10,0.18000006675720215,best Tree w/ depth of 10,491,0.8573422668900056,0.012000083923339844,best
1,0.04500007629394531,random Tree w/ depth of 1,3,0.7627024008933556,0.009999990463256836,random
2,0.034999847412109375,random Tree w/ depth of 2,7,0.7950865438302624,0.010000228881835938,random
3,0.046000003814697266,random Tree w/ depth of 3,15,0.8252372975991067,0.004000186920166016,random
4,0.05299997329711914,random Tree w/ depth of 4,29,0.8264470500651405,0.009000062942504883,random
5,0.057000160217285156,random Tree w/ depth of 5,61,0.8238414293690676,0.009999990463256836,random
6,0.06700015068054199,random Tree w/ depth of 6,103,0.8289596128792108,0.009999990463256836,random
7,0.07400012016296387,random Tree w/ depth of 7,169,0.8273776288851665,0.010999917984008789,random
8,0.08100008964538574,random Tree w/ depth of 8,309,0.8392890377815001,0.009999990463256836,random
9,0.08299994468688965,random Tree w/ depth of 9,441,0.8401265587195236,0.006999969482421875,random
10,0.0969998836517334,random Tree w/ depth of 10,575,0.836962590731435,0.012000083923339844,random
