depth,fit_time,name,nodes,score,score_time,splitter
1,0.032000064849853516,best Tree w/ depth of 1,3,0.7627024008933556,0.009999990463256836,best
2,0.04499983787536621,best Tree w/ depth of 2,7,0.8287734971152056,0.00800013542175293,best
3,0.06200003623962402,best Tree w/ depth of 3,15,0.8444072212916434,0.01100015640258789,best
4,0.07599997520446777,best Tree w/ depth of 4,29,0.8491531732737763,0.003000020980834961,best
5,0.09800004959106445,best Tree w/ depth of 5,55,0.8548297040759353,0.009000062942504883,best
6,0.10699987411499023,best Tree w/ depth of 6,95,0.8556672250139586,0.009999990463256836,best
7,0.12400007247924805,best Tree w/ depth of 7,151,0.8570630932439978,0.009999990463256836,best
8,0.1359999179840088,best Tree w/ depth of 8,229,0.8558533407779639,0.009999990463256836,best
9,0.14099979400634766,best Tree w/ depth of 9,341,0.8584589614740369,0.01100015640258789,best
10,0.16899991035461426,best Tree w/ depth of 10,491,0.8577144984180161,0.009999990463256836,best
1,0.026000022888183594,random Tree w/ depth of 1,3,0.7627024008933556,0.008999824523925781,random
2,0.03400015830993652,random Tree w/ depth of 2,7,0.7958310068862833,0.004999876022338867,random
3,0.04699993133544922,random Tree w/ depth of 3,15,0.8199329983249581,0.007999897003173828,random
4,0.04399991035461426,random Tree w/ depth of 4,31,0.8235622557230597,0.009999990463256836,random
5,0.05899977684020996,random Tree w/ depth of 5,59,0.8250511818351014,0.010000228881835938,random
6,0.06299996376037598,random Tree w/ depth of 6,103,0.8305415968732551,0.009000062942504883,random
7,0.07799983024597168,random Tree w/ depth of 7,183,0.837893169551461,0.01100015640258789,random
8,0.08599996566772461,random Tree w/ depth of 8,243,0.8393820956635027,0.009999990463256836,random
9,0.09099984169006348,random Tree w/ depth of 9,421,0.8404057323655314,0.00800013542175293,random
10,0.10099983215332031,random Tree w/ depth of 10,609,0.846175321049693,0.009000062942504883,random
