depth,fit_time,name,nodes,score,score_time,splitter
1,0.029999971389770508,best Tree w/ depth of 1,3,0.7627024008933556,0.017999887466430664,best
2,0.051000118255615234,best Tree w/ depth of 2,7,0.8287734971152056,0.009000062942504883,best
3,0.059999942779541016,best Tree w/ depth of 3,15,0.8444072212916434,0.007999897003173828,best
4,0.07899999618530273,best Tree w/ depth of 4,29,0.8491531732737763,0.009999990463256836,best
5,0.0839998722076416,best Tree w/ depth of 5,55,0.8548297040759353,0.009000062942504883,best
6,0.09299993515014648,best Tree w/ depth of 6,95,0.8556672250139586,0.009999990463256836,best
7,0.14399981498718262,best Tree w/ depth of 7,151,0.8570630932439978,0.010999917984008789,best
8,0.17799997329711914,best Tree w/ depth of 8,229,0.8555741671319561,0.003000020980834961,best
9,0.14300012588500977,best Tree w/ depth of 9,341,0.8591103666480551,0.009999990463256836,best
10,0.17399978637695312,best Tree w/ depth of 10,491,0.8573422668900056,0.009999990463256836,best
11,0.18600010871887207,best Tree w/ depth of 11,677,0.8524101991438675,0.009999990463256836,best
12,0.18199992179870605,best Tree w/ depth of 12,911,0.8483156523357528,0.012000083923339844,best
1,0.02499985694885254,random Tree w/ depth of 1,3,0.7627024008933556,0.009999990463256836,random
2,0.029999971389770508,random Tree w/ depth of 2,7,0.8196538246789503,0.009000062942504883,random
3,0.04800009727478027,random Tree w/ depth of 3,15,0.8210496929089894,0.010999917984008789,random
4,0.051000118255615234,random Tree w/ depth of 4,29,0.8243067187790806,0.009000062942504883,random
5,0.06599998474121094,random Tree w/ depth of 5,61,0.828680439233203,0.01100015640258789,random
6,0.08999991416931152,random Tree w/ depth of 6,117,0.8349153173273777,0.01100015640258789,random
7,0.09100008010864258,random Tree w/ depth of 7,185,0.8421738321235809,0.010999917984008789,random
8,0.10500001907348633,random Tree w/ depth of 8,323,0.8351014330913828,0.009999990463256836,random
9,0.09400010108947754,random Tree w/ depth of 9,373,0.8472920156337241,0.0009999275207519531,random
10,0.127000093460083,random Tree w/ depth of 10,555,0.8445933370556487,0.009999990463256836,random
11,0.11100006103515625,random Tree w/ depth of 11,865,0.8380792853154663,0.009999990463256836,random
12,0.1549999713897705,random Tree w/ depth of 12,1009,0.845430857993672,0.016000032424926758,random
